StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,dismiss_1,research_stage,Q22,Q22_6_TEXT,feeling_stage_1,feeling_stage_2,feeling_stage_3,feeling_stage_4,feeling_stage_5,feeling_stage_6,feeling_stage_7,feeling_stage_8,feeling_stage_9,feeling_stage_10,feeling_stage_11,feeling_stage_12,feeling_stage_13,feeling_stage_14,feeling_stage_15,feeling_stage_16,feeling_stage_17,feeling_stage_18,feeling_stage_19,feeling_stage_20,cause_stage,feeling_general_1,cause_general,category_of_work,position,area,gender,age,country,country_other
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Emotional Landscape of Scientific Research

 

 

Informed Consent and Description of Research


You are cordially invited to participate in a research study coordinated by Prof. Balazs Aczel, ELTE Budapest, Hungary (aczel.balazs@ppk.elte.hu). This study aims to explore the emotional landscape of scientific research, mapping out the affects and emotions that researchers commonly experience when conducting different stages of their main research project. The study consists of a series of questions and poses minimal risk of discomfort (other than the discomfort caused by completing regular or daily tasks). Your participation is entirely voluntary, and you are free to complete the survey on your own terms. The survey is quite short, and the estimated time for completion is approximately 5 minutes. Aside from personal satisfaction (stemming from your support of the overall advancement of science), there are no other compensations for your participation.



The results of this study will be used in scientific outputs (publications and conference presentations). Data will be collected anonymously during the study and no other personal data will be obtained. If you would like to participate in further studies about the psychology of scientists, at the end of the survey, you can sign up to a mailing list via an anonymized link.



Data obtained during the research is stored as coded information in a secured computer. The assistant in charge provides the individual codes, which are accessible and known only to them. Research data will be analyzed statistically, during which no personal identification will be possible. All anonymized data will be openly shared on public repositories. By proceeding, you agree that data collected on your person - which cannot be identified as those belonging to your person - may be used for research purposes and will be accessible to other researchers and the general public.



I reserve the right to terminate my participation at any time, in which case the data belonging to my person should be erased. I declare that I am over 18 years of age. I have received detailed information concerning the conditions of my participation in the study. I agree with these conditions, and I am willing to participate.","Indicate which stage you are in or were in within the last month. (If you were in multiple stages, just select the one that took up most of your time)","You indicated that you are in the post-project stage. Please tell us about the end of the project.
The project was ... - Selected Choice","You indicated that you are in the post-project stage. Please tell us about the end of the project.
The project was ... - Other (Please specify): - Text",What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Interest,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Amusement,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Pride,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Joy,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Pleasure,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Contentment,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Love,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Admiration,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Relief,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Compassion,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Sadness,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Guilt,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Regret,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Shame,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Disappointment,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Fear,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Disgust,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Contempt,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Hate,What feelings did you experience during this stage you just selected? Please rate the intensity of those feelings that you experienced or indicate if you did not experience that feeling. - Anger,"What do you believe to be the main cause of your most intense feeling, as indicated above? (Please tell us the feeling and its cause. If you have multiple feelings with equally high intensity, please specify the one you chose to respond to here.)",How would you rate your overall feelings about your life as a researcher? - I feel,What do you think is the main cause of this feeling?,How would you categorize your work?,What is the closest category that describes your current academic position?,What is your area of research?,With which gender do you identify yourself?,What is your age?,List of Countries,"If other country, please specify:"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_6_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID4_13""}","{""ImportId"":""QID4_14""}","{""ImportId"":""QID4_15""}","{""ImportId"":""QID4_16""}","{""ImportId"":""QID4_17""}","{""ImportId"":""QID4_18""}","{""ImportId"":""QID4_19""}","{""ImportId"":""QID4_20""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID9""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID1217255476""}","{""ImportId"":""QID42_TEXT""}"
2025-04-07 09:30:50,2025-04-07 09:34:25,IP Address,100,214,True,2025-04-07 09:34:26,R_4Hcms9B0QY4Tf9A,email,EN,Yes,Data analysis,,,5,1,4,4,4,4,1,3,5,6,2,1,1,1,1,0,1,0,0,0,The research is both interesting and important for vulnerable people,2,I am interested in the topics I research,Field research,Full professor,Social sciences,Man,69,Australia,
2025-04-07 09:29:32,2025-04-07 09:34:45,IP Address,100,312,True,2025-04-07 09:34:45,R_80iAqYYaqXVVYRP,email,EN,Yes,Revisions,,,7,1,3,1,1,0,0,0,0,0,6,0,6,0,6,0,6,0,0,0,,2,,Field research,Non-academic researcher,Life sciences,Man,60,Spain,
2025-04-07 09:58:55,2025-04-07 10:02:42,IP Address,100,226,True,2025-04-07 10:02:42,R_3CwTRktAau6Y6Qy,email,EN,Yes,Data analysis,,,4,1,4,1,1,1,1,1,4,1,1,0,3,2,5,1,0,0,0,3,,1,Overwork,Lab/online research,Associate professor,Life sciences,Man,48,France,
2025-04-07 10:02:23,2025-04-07 10:06:52,IP Address,100,268,True,2025-04-07 10:06:52,R_3nvnjjaHTALFI65,email,EN,Yes,Data analysis,,,6,5,5,4,4,4,0,0,0,0,1,1,3,1,3,1,1,1,1,2,"interest, since a research loves what he does",1,Sometimes (not always) you have the chance to decide by yourself what to do and how; this is good but is also a responsibilityhow,Lab/online research,Non-academic researcher,Life sciences,Man,54,Italy,
2025-04-07 10:02:21,2025-04-07 10:07:20,IP Address,100,298,True,2025-04-07 10:07:20,R_77g5d1iXE6yRHZe,email,EN,Yes,Data collection,,,7,6,4,5,6,4,3,3,3,3,1,0,0,0,3,1,0,0,0,2,The interest of the question,3,Freedom and intellectually stimulating,Lab/online research,Full professor,Life sciences,Man,57,France,
2025-04-07 09:41:00,2025-04-07 10:12:58,IP Address,100,1918,True,2025-04-07 10:12:58,R_8f0RLILkisSzJWa,email,EN,Yes,Project genesis/ first thoughts/ idea creation,,,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"Joy: it is fascinating to work on new plans and keep in mind that ""if your dreams don't scare you, there not big enough",3,Great to work on innovation,Clinical research,Full professor,Life sciences,Man,58,Netherlands,
2025-04-07 10:26:59,2025-04-07 10:30:24,IP Address,100,205,True,2025-04-07 10:30:25,R_82zRds9QDCXSulG,email,EN,Yes,Data analysis,,,7,7,6,6,6,5,6,5,7,0,1,0,1,0,2,0,0,0,0,1,"Accomplissement of loads of work ",2,"Field of clinical research and self management for projects ",Clinical research,Postdoc,Health sciences,Man,36,France,
2025-04-07 11:06:54,2025-04-07 11:16:12,IP Address,100,558,True,2025-04-07 11:16:13,R_8E0PeczepAKloBf,email,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,7,0,5,2,2,5,5,1,1,5,4,2,2,1,6,2,2,2,2,3,"I am interested, motivated and passionate about this project, but the IRB application process was unhelpfully long and really frustrating ",1,"I like doing research but I often have the sense that we are ""forced"" to prioritize career-related outputs (eg: number of publications) over benefit sharing",Field research,Postdoc,Social sciences,Woman,36,Ireland,
