"research_stage","emotion","mean_value"
"Project genesis","interest",5.991
"Project genesis","joy",4.829
"Project genesis","pride",4.752
"Reality check","interest",6.017
"Reality check","pride",4.642
"Reality check","joy",4.569
"Preparations","interest",5.11
"Preparations","pride",4.191
"Preparations","contentment",3.619
"Data collection","interest",5.359
"Data collection","pride",4.617
"Data collection","contentment",4.16
"Data analysis","interest",5.756
"Data analysis","pride",4.626
"Data analysis","contentment",4.405
"Report writing","interest",5.461
"Report writing","pride",4.843
"Report writing","contentment",4.296
"Waiting for journal","interest",5.044
"Waiting for journal","pride",4.628
"Waiting for journal","relief",4.386
"Reviews and revisions","interest",4.841
"Reviews and revisions","pride",4.089
"Reviews and revisions","contentment",4.051
"Post-project stage","interest",5.733
"Post-project stage","pride",5.348
"Post-project stage","contentment",4.956
