"anonym_id","zero_count","na_count"
1,4,0
2,11,0
3,4,0
4,4,0
5,6,0
6,14,0
7,7,0
8,1,0
9,18,0
10,15,0
11,4,0
12,7,0
13,11,0
14,2,0
15,15,0
16,7,0
17,10,0
18,19,0
19,4,0
20,0,0
21,7,0
22,12,0
23,0,20
24,7,0
25,4,0
26,4,0
27,5,0
28,2,0
29,0,0
30,17,0
31,9,0
32,14,0
33,8,0
34,13,0
35,8,0
36,0,0
37,7,0
38,10,0
39,4,0
40,3,0
41,3,0
42,8,0
43,5,0
44,7,0
45,0,0
46,9,0
47,0,0
48,1,0
49,12,0
50,9,0
51,5,0
52,4,0
53,0,0
54,0,0
55,11,0
56,6,0
57,8,0
58,11,0
59,6,0
60,14,0
61,7,0
62,0,0
63,0,0
64,6,0
65,9,0
66,4,0
67,0,0
68,3,0
69,14,0
70,10,0
71,6,0
72,0,0
73,1,0
74,1,0
75,7,0
76,6,0
77,7,0
78,7,0
79,9,0
80,0,0
81,10,0
82,11,0
83,4,0
84,6,0
85,5,0
86,1,0
87,10,0
88,0,0
89,0,0
90,4,0
91,18,0
92,10,0
93,14,0
94,0,15
95,6,0
96,7,0
97,10,0
98,9,0
99,0,0
100,7,0
101,7,0
102,8,0
103,9,0
104,0,0
105,3,0
106,10,0
107,10,0
108,9,0
109,7,0
110,0,0
111,0,0
112,10,0
113,12,0
114,0,0
115,6,0
116,9,0
117,8,0
118,5,0
119,15,0
120,1,0
121,10,0
122,0,0
123,1,0
124,7,0
125,1,0
126,8,0
127,5,0
128,6,0
129,0,0
130,8,0
131,10,0
132,0,20
133,11,0
134,5,0
135,0,0
136,4,0
137,0,0
138,0,0
139,12,0
140,0,0
141,3,0
142,4,0
143,11,0
144,4,0
145,15,0
146,2,0
147,10,0
148,8,0
149,10,0
150,10,0
151,6,1
152,5,0
153,9,0
154,0,0
155,11,0
156,10,0
157,12,0
158,8,0
159,11,0
160,9,0
161,12,0
162,0,0
163,5,0
164,0,0
165,1,0
166,8,0
167,7,0
168,1,0
169,1,0
170,8,0
171,4,0
172,2,0
173,10,0
174,2,0
175,11,0
176,11,0
177,10,0
178,8,0
179,2,0
180,11,0
181,10,0
182,0,16
183,4,0
184,14,0
185,8,0
186,0,0
187,0,0
188,10,0
189,9,0
190,9,0
191,14,0
192,16,0
193,8,0
194,0,0
195,12,0
196,7,2
197,12,0
198,8,0
199,3,0
200,3,0
201,8,0
202,7,0
203,11,0
204,9,0
205,0,0
206,13,0
207,6,0
208,4,0
209,0,0
210,0,0
211,12,0
212,5,0
213,10,0
214,3,0
215,4,0
216,0,0
217,14,0
218,0,0
219,8,0
220,0,0
221,8,0
222,11,0
223,8,0
224,7,0
225,4,0
226,5,0
227,0,0
228,14,0
229,7,0
230,15,0
231,3,0
232,8,0
233,15,0
234,12,0
235,0,0
236,10,0
237,4,0
238,0,0
239,11,0
240,10,0
241,0,0
242,0,0
243,13,0
244,8,0
245,8,0
246,10,0
247,8,0
248,15,0
249,7,0
250,2,0
251,0,0
252,8,0
253,14,0
254,13,0
255,7,0
256,12,2
257,0,0
258,6,0
259,10,0
260,0,0
261,6,0
262,4,0
263,1,0
264,0,0
265,11,0
266,11,0
267,3,0
268,8,0
269,6,0
270,6,0
271,0,0
272,13,0
273,10,0
274,6,0
275,8,0
276,0,0
277,7,0
278,9,0
279,0,0
280,9,0
281,14,0
282,10,0
283,0,0
284,6,0
285,5,0
286,15,0
287,10,0
288,4,0
289,14,0
290,4,0
291,11,0
292,12,0
293,10,0
294,11,0
295,8,0
296,6,0
297,9,0
298,11,0
299,7,0
300,0,0
301,5,0
302,7,0
303,0,0
304,0,0
305,9,0
306,5,0
307,8,0
308,1,0
309,11,0
310,1,0
311,0,0
312,2,0
313,0,0
314,2,0
315,14,0
316,0,0
317,13,0
318,10,0
319,8,0
320,10,0
321,8,0
322,1,0
323,14,0
324,13,0
325,5,0
326,10,0
327,0,0
328,10,0
329,11,0
330,5,0
331,8,0
332,15,0
333,0,20
334,14,0
335,0,0
336,8,0
337,9,0
338,4,0
339,15,0
340,7,0
341,10,0
342,9,0
343,7,0
344,9,0
345,7,0
346,12,0
347,5,0
348,12,0
349,9,0
350,3,0
351,18,0
352,10,0
353,8,0
354,0,0
355,3,0
356,3,0
357,11,0
358,0,0
359,14,0
360,7,0
361,11,0
362,11,0
363,0,0
364,11,0
365,12,0
366,0,0
367,4,0
368,3,0
369,8,0
370,0,0
371,9,0
372,9,0
373,13,0
374,11,0
375,10,0
376,9,0
377,13,0
378,0,0
379,8,0
380,0,0
381,11,0
382,3,0
383,7,0
384,9,0
385,7,0
386,0,1
387,10,0
388,4,0
389,11,0
390,3,0
391,5,0
392,10,0
393,13,0
394,12,0
395,12,0
396,9,0
397,9,0
398,15,0
399,7,0
400,8,0
401,14,0
402,8,0
403,9,0
404,2,0
405,0,0
406,12,0
407,5,1
408,12,0
409,1,0
410,0,0
411,0,0
412,6,0
413,15,0
414,6,0
415,4,0
416,9,0
417,1,0
418,0,0
419,7,0
420,10,0
421,10,0
422,11,0
423,5,0
424,14,0
425,15,0
426,8,0
427,0,20
428,0,20
429,0,20
430,11,0
431,0,20
432,0,20
433,0,20
434,0,0
435,3,0
436,9,0
437,0,20
438,0,0
439,9,1
440,0,20
441,9,0
442,0,20
443,0,20
444,4,0
445,0,20
446,0,20
447,8,0
448,0,20
449,0,20
450,0,20
451,0,20
452,0,20
453,0,20
454,0,20
455,13,0
456,0,20
457,0,20
458,0,20
459,0,20
460,3,0
461,0,20
462,0,20
463,0,20
464,5,0
465,0,20
466,10,0
467,3,0
468,3,0
469,11,0
470,0,20
471,10,0
472,0,20
473,0,20
474,0,20
475,0,20
476,0,20
477,0,20
478,0,20
479,0,20
480,0,20
481,0,20
482,2,0
483,0,20
484,0,20
485,0,20
486,0,20
487,0,20
488,0,20
489,0,20
490,0,20
491,0,20
492,0,20
493,0,20
494,0,20
495,3,0
496,10,1
497,12,0
498,0,20
499,0,20
500,11,0
501,11,0
502,0,20
503,0,20
504,0,1
505,0,20
506,14,0
507,0,0
508,0,20
509,0,20
510,10,0
511,0,20
512,0,20
513,0,20
514,0,20
515,0,20
516,0,20
517,0,20
518,0,20
519,0,20
520,4,0
521,0,20
522,0,20
523,0,20
524,0,20
525,0,20
526,14,0
527,0,20
528,0,20
529,0,20
530,0,20
531,0,20
532,0,20
533,0,20
534,0,20
535,0,20
536,12,0
537,0,20
538,0,20
539,0,20
540,0,20
541,0,20
542,0,20
543,0,20
544,0,20
545,0,20
546,17,0
547,4,0
548,0,20
549,12,1
550,0,20
551,10,0
552,0,20
553,0,20
554,0,20
555,0,20
556,0,20
557,0,20
558,0,20
559,0,20
560,0,20
561,16,0
562,0,20
563,0,20
564,0,20
565,0,20
566,0,20
567,0,20
568,0,20
569,0,20
570,0,20
571,9,0
572,0,20
573,0,20
574,0,20
575,0,0
576,4,0
577,0,20
578,0,20
579,0,20
580,0,20
581,0,20
582,0,19
583,0,20
584,0,20
585,0,2
586,0,20
587,0,20
588,0,20
589,0,20
590,0,20
591,0,20
592,0,20
593,2,1
594,0,20
595,0,20
596,0,20
597,0,20
598,0,0
599,12,0
600,0,20
601,18,1
602,0,20
603,0,20
604,0,20
605,0,20
606,0,20
607,0,20
608,0,20
609,9,0
610,11,0
611,3,0
612,11,0
613,8,0
614,0,0
615,11,0
616,7,0
617,6,0
618,5,0
619,10,0
620,0,0
621,12,0
622,0,0
623,1,0
624,3,0
625,1,0
626,7,0
627,0,0
628,7,0
629,10,0
630,6,0
631,2,0
632,15,0
633,0,0
634,8,0
635,13,0
636,0,0
637,7,0
638,0,0
639,0,0
640,5,0
641,9,0
642,8,0
643,9,0
644,12,0
645,13,0
646,0,0
647,11,0
648,9,0
649,5,0
650,2,0
651,7,0
652,6,0
653,14,0
654,1,18
655,10,0
656,0,0
657,0,0
658,9,0
659,6,0
660,7,0
661,0,0
662,13,0
663,15,0
664,0,0
665,8,0
666,12,0
667,5,0
668,9,0
669,8,0
670,8,0
671,3,0
672,0,0
673,10,0
674,0,0
675,8,0
676,12,0
677,2,0
678,8,0
679,2,0
680,14,0
681,4,0
682,12,0
683,14,0
684,5,0
685,10,0
686,9,0
687,12,0
688,8,0
689,0,0
690,3,0
691,10,0
692,6,0
693,13,0
694,0,0
695,0,0
696,0,0
697,0,9
