"anonym_id","duration..in.seconds.","finished","recordeddate","dismiss_1","research_stage","q22","q22_6_text","feeling_stage_1","feeling_stage_2","feeling_stage_3","feeling_stage_4","feeling_stage_5","feeling_stage_6","feeling_stage_7","feeling_stage_8","feeling_stage_9","feeling_stage_10","feeling_stage_11","feeling_stage_12","feeling_stage_13","feeling_stage_14","feeling_stage_15","feeling_stage_16","feeling_stage_17","feeling_stage_18","feeling_stage_19","feeling_stage_20","cause_stage","feeling_general_1","cause_general","category_of_work","position","area","gender","age","country","country_other"
1,"214",TRUE,"2025-04-07 09:34:26","Yes","Data analysis","","","5","1","4","4","4","4","1","3","5","6","2","1","1","1","1","0","1","0","0","0","The research is both interesting and important for vulnerable people","2","I am interested in the topics I research","Field research","Full professor","Social sciences","Man","69","Australia",""
2,"312",TRUE,"2025-04-07 09:34:45","Yes","Revisions","","","7","1","3","1","1","0","0","0","0","0","6","0","6","0","6","0","6","0","0","0","","2","","Field research","Non-academic researcher","Life sciences","Man","60","Spain",""
3,"226",TRUE,"2025-04-07 10:02:42","Yes","Data analysis","","","4","1","4","1","1","1","1","1","4","1","1","0","3","2","5","1","0","0","0","3","","1","Overwork","Lab/online research","Associate professor","Life sciences","Man","48","France",""
4,"268",TRUE,"2025-04-07 10:06:52","Yes","Data analysis","","","6","5","5","4","4","4","0","0","0","0","1","1","3","1","3","1","1","1","1","2","interest, since a research loves what he does","1","Sometimes (not always) you have the chance to decide by yourself what to do and how; this is good but is also a responsibilityhow","Lab/online research","Non-academic researcher","Life sciences","Man","54","Italy",""
5,"298",TRUE,"2025-04-07 10:07:20","Yes","Data collection","","","7","6","4","5","6","4","3","3","3","3","1","0","0","0","3","1","0","0","0","2","The interest of the question","3","Freedom and intellectually stimulating","Lab/online research","Full professor","Life sciences","Man","57","France",""
6,"1918",TRUE,"2025-04-07 10:12:58","Yes","Project genesis/ first thoughts/ idea creation","","","6","6","6","6","6","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","Joy: it is fascinating to work on new plans and keep in mind that ""if your dreams don't scare you, there not big enough","3","Great to work on innovation","Clinical research","Full professor","Life sciences","Man","58","Netherlands",""
7,"205",TRUE,"2025-04-07 10:30:25","Yes","Data analysis","","","7","7","6","6","6","5","6","5","7","0","1","0","1","0","2","0","0","0","0","1","Accomplissement of loads of work ","2","Field of clinical research and self management for projects ","Clinical research","Postdoc","Health sciences","Man","36","France",""
8,"558",TRUE,"2025-04-07 11:16:13","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","7","0","5","2","2","5","5","1","1","5","4","2","2","1","6","2","2","2","2","3","I am interested, motivated and passionate about this project, but the IRB application process was unhelpfully long and really frustrating ","1","I like doing research but I often have the sense that we are ""forced"" to prioritize career-related outputs (eg: number of publications) over benefit sharing","Field research","Postdoc","Social sciences","Woman","36","Ireland",""
9,"222",TRUE,"2025-04-07 11:34:32","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","6","0","0","0","waste of time","2","liberty","Lab/online research","Full professor","Health sciences","Man","64","France",""
10,"291",TRUE,"2025-04-07 13:46:58","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","7","0","4","0","4","4","0","0","0","0","0","0","0","0","0","5","0","0","0","0","Preparing a project for submission is always intellectually rewarding. Most of the feelings listed above (such as love, hate, disgust, etc.) do not describe at all feelings that I can have about my work.","2","Intellectually and socially stimulating, enriching and interesting","Lab/online research","Non-academic researcher","Life sciences","Man","55","France",""
11,"413",TRUE,"2025-04-07 13:48:04","Yes","Waiting for journal's response and revisions","","","2","1","2","2","1","1","2","0","2","0","5","2","1","0","4","3","1","0","4","5","I am sad because I feel that my work may be not good enough and the publication process takes too much time while I can only wait","-1","Little academic support from supervisor, long time for publication","Lab/online research","Research assistant","Social sciences","Woman","25","China",""
12,"254",TRUE,"2025-04-07 14:45:57","Yes","Project genesis/ first thoughts/ idea creation","","","2","0","0","0","1","2","0","0","0","0","4","2","5","3","5","7","4","5","2","4","Fear of having to lead more work as others are not performing to an already very heavy workload I have, and due to the pressure to constantly say 'yes' in academia","-1","Overwork, unreasonable expectations, doing the job of multiple people","Lab/online research","Postdoc","Health sciences","Woman","36","Australia",""
13,"2064",TRUE,"2025-04-07 14:50:43","Yes","Report writing","","","7","0","3","1","1","1","0","1","4","0","3","0","0","0","2","0","0","0","0","0","Lonliness as my intense work can't be shared with my  co-investigators or friends","-2"," sleep deprivation  Lack of social life and detached from family","Clinical research","Associate professor","Health sciences","Man","56","Egypt",""
14,"213",TRUE,"2025-04-07 15:04:31","Yes","Data collection","","","6","3","5","3","4","4","1","2","2","3","3","3","4","2","3","3","2","0","0","1","""Interest"" was the most intense feeling, and I believe this was due to excitement over a new, meaningful research project.","2","I enjoy conducting research and see its value.","Clinical research","Associate professor","Life sciences","Man","34","United States of America",""
15,"407",TRUE,"2025-04-07 16:13:34","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","4","0","3","0","1","0","0","0","0","0","0","2","0","0","0","0","0","3","0","0","I'm interested in the work and take pride in it, but I often wonder what if any real-world applications it will have and if it has any meaning at all outside of academics, which gives me contempt for the project. I then feel guilty about pursuing a project for which I doubt its usefulness, and also for having negative thoughts about the work and my collaborators.","2","Sense of accomplishment, freedom to choose what I work on, satisfaction from solving difficult problems ","Lab/online research","Postdoc","Life sciences","Woman","33","United States of America",""
