"country","n"
"",396
"Afghanistan",1
"Algeria",1
"Argentina",3
"Australia",44
"Austria",26
"Belgium",19
"Brazil",14
"Canada",38
"Chile",4
"China",31
"Colombia",3
"Costa Rica",1
"Croatia",3
"Cyprus",1
"Czech Republic",2
"Denmark",24
"Egypt",12
"Finland",10
"France",26
"Germany",51
"Greece",3
"Hong Kong (S.A.R.)",1
"Hungary",13
"Iceland",1
"India",21
"Iran",7
"Iraq",2
"Ireland",7
"Israel",8
"Italy",50
"Japan",9
"Jordan",2
"Kenya",1
"Lebanon",1
"Lithuania",2
"Malaysia",5
"Mali",2
"Mexico",7
"Netherlands",52
"New Zealand",6
"North Macedonia",7
"Norway",10
"Pakistan",5
"Philippines",1
"Poland",34
"Portugal",11
"Romania",2
"Russian Federation",1
"Saudi Arabia",3
"Serbia",8
"Singapore",2
"Slovenia",1
"South Africa",5
"South Korea",3
"Spain",44
"Sri Lanka",1
"Sudan",1
"Sweden",28
"Switzerland",22
"Thailand",3
"Trinidad and Tobago",1
"Turkey",23
"United Kingdom of Great Britain and Northern Ireland",89
"United States of America",251
